Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9
Male,Bsc.Cs,Usually,No,,3,Yes ,4
Female,Bsc.CS,Usually,Yes,Normal,3,Yes,3
Male,Bsc.Cs,Sometime,Yes,Bad,2,Yes,2
Male,Bsc.Cs,Sometime,No,,3,No ,3
Male,Bsc.Cs,Always,Yes,VeryBad,3,Yes,3
Male,Bsc.Cs,Sometime,No,,2,No,2
Female,Bsc.Cs,Sometime,No,,3,No,3
Female,Bsc.Cs,Sometime,Yes,Good,5,No,3
Male,Bsc.Cs,Always,Yes,VeryBad,3,Yes,1
Female,Bsc.Cs,Sometime,Yes,Normal,3,Yes,3
Female,Bsc.Cs,Sometime,Yes,VeryBad,2,Yes,2
Male,Bsc.Cs,Always,Yes,Bad,3,Yes,3
Male,Bsc.Cs,Usually,Yes,Normal,2,Yes,3
Male,Bsc.Cs,Always,No,,3,Yes,4
Male,Bsc.Cs,Sometime,Yes,Execellent,4,Yes,4
Female,Bsc.Cs,Usually,No,,4,Yes,4
Male,Bsc.Cs,Usually,No,,5,Yes,5
Female,Bsc.Cs,Always,No,,3,Yes,4
Female,Bsc.Cs,Sometime,Yes,Normal,4,No,3
Male,Bsc.Cs,Sometime,No,Normal,3,Yes,3
Male,Bsc.Cs,Usually,No,,4,Yes,4
Male,Bsc.Cs,Usually,Yes,Normal,4,Yes,4
Male,Bsc.Cs,Usually,Yes,VeryBad,3,Yes,4
Female,Bsc.Cs,Usually,No,,4,Yes,4
Male,Bsc.Cs,Sometime,No,,3,Yes,4
Female,Bsc.Cs,Sometime,Yes,Good,3,Yes,4
Male,Bsc.Cs,Sometime,No,,3,Yes,4
Male,Bsc.Cs,Sometime,No,,3,Yes,3
Male,Bsc.Cs,Always,No,,5,No,5
Female,Bsc.Cs,Sometime,Yes,Normal,3,Yes,4
Female,Bsc.Cs,Usually,Yes,Normal,3,No,3
Male,Bsc.Cs,Usually,Yes,Normal,3,Yes,3
Male,Bsc.IT,Usually,Yes,Good,3,No,3
Male,Bsc.IT,Usually,Yes,Normal,3,Yes,3
FeMale,Bsc.IT,Sometime,Yes,Bad,3,Yes,2
FeMale,Bsc.IT,Usually,Yes,Normal,3,Yes,3
Male,Bsc.IT,Sometime,Yes,Normal,3,Yes,2
Male,Bsc.IT,Sometime,Yes,Normal,4,Yes,3
Male,Bsc.IT,Usually,Yes,Normal,3,Yes,4
FeMale,Bsc.IT,Usually,Yes,normal,3,No,3
FeMale,Bsc.IT,Always,,,4,Yes,2
Male,Bsc.IT,Sometime,No,,2,Yes,2
Male,Bsc.IT,Sometime,Yes,Good,3,Yes,3
Male,Bsc.IT,Always,Yes,Good,4,No,3
Male,Bsc.IT,Sometime,Yes,Bad,3,Yes,3
Male,Bsc.IT,Sometime,Yes,Good,3,Yes,3
Male,Bsc.IT,Usually,Yes,Normal,2,Yes,3
Male,Bsc.IT,Always,Yes,VeryBad ,3,Yes,2
FeMale,Bsc.IT,Sometime,Yes,Normal,3,Yes,3
Male,Bsc.IT,Sometime,Yes,Good,4,Yes,5
FeMale,Bsc.IT,Usually,,Normal,3,Yes,3
Male,Bsc.IT,Sometime,Yes,Normal,3,Yes,3
FeMale,Bsc.IT,Sometime,Yes,Normal,2,Yes,3
Male,Bsc.IT,Sometime,Yes,Normal,3,Yes,3
Male,Bsc.IT,Sometime,No,,4,Yes,4
FeMale,Bsc.IT,Always,Yes,Good,4,Yes,3
FeMale,Bsc.IT,Usually,No,,3,Yes,3
FeMale,Bsc.IT,Usually,Yes,Normal,3,Yes,2
Male,Bsc.IT,Usually,Yes,Normal,4,Yes,3
FeMale,Bsc.IT,Usually,Yes,Normal,3,Yes,3
Male,Bsc.IT,Usually,Yes,Normal,3,Yes,4
